weeks,censored,group
12.0,0.0,Irradiated Control
1.0,0.0,Irradiated Control
21.0,0.0,Irradiated Control
25.0,0.0,Irradiated Control
11.0,0.0,Irradiated Control
26.0,0.0,Irradiated Control
27.0,0.0,Irradiated Control
30.0,0.0,Irradiated Control
13.0,0.0,Irradiated Control
12.0,0.0,Irradiated Control
21.0,0.0,Irradiated Control
20.0,0.0,Irradiated Control
23.0,0.0,Irradiated Control
25.0,0.0,Irradiated Control
23.0,0.0,Irradiated Control
29.0,0.0,Irradiated Control
35.0,0.0,Irradiated Control
,40.0,Irradiated Control
31.0,0.0,Irradiated Control
36.0,0.0,Irradiated Control
32.0,0.0,Vehicle Control
27.0,0.0,Vehicle Control
23.0,0.0,Vehicle Control
12.0,0.0,Vehicle Control
18.0,0.0,Vehicle Control
,40.0,Vehicle Control
,40.0,Vehicle Control
38.0,0.0,Vehicle Control
29.0,0.0,Vehicle Control
30.0,0.0,Vehicle Control
,40.0,Vehicle Control
32.0,0.0,Vehicle Control
,40.0,Vehicle Control
,40.0,Vehicle Control
,40.0,Vehicle Control
,40.0,Vehicle Control
25.0,0.0,Vehicle Control
30.0,0.0,Vehicle Control
37.0,0.0,Vehicle Control
27.0,0.0,Vehicle Control
22.0,0.0,Test Substance
26.0,0.0,Test Substance
,10.0,Test Substance
28.0,0.0,Test Substance
19.0,0.0,Test Substance
15.0,0.0,Test Substance
12.0,0.0,Test Substance
35.0,0.0,Test Substance
35.0,0.0,Test Substance
10.0,0.0,Test Substance
22.0,0.0,Test Substance
18.0,0.0,Test Substance
,24.0,Test Substance
12.0,0.0,Test Substance
,40.0,Test Substance
,40.0,Test Substance
31.0,0.0,Test Substance
24.0,0.0,Test Substance
27.0,0.0,Test Substance
29.0,0.0,Test Substance
27.0,0.0,Positive Control
18.0,0.0,Positive Control
22.0,0.0,Positive Control
13.0,0.0,Positive Control
18.0,0.0,Positive Control
29.0,0.0,Positive Control
28.0,0.0,Positive Control
,20.0,Positive Control
16.0,0.0,Positive Control
22.0,0.0,Positive Control
26.0,0.0,Positive Control
19.0,0.0,Positive Control
,29.0,Positive Control
,10.0,Positive Control
17.0,0.0,Positive Control
28.0,0.0,Positive Control
26.0,0.0,Positive Control
12.0,0.0,Positive Control
17.0,0.0,Positive Control
26.0,0.0,Positive Control
