plate,seed_variety,root_extract,r,n
1,O. aegyptiaco 75,Bean,10,39
2,O. aegyptiaco 75,Bean,23,62
3,O. aegyptiaco 75,Bean,23,81
4,O. aegyptiaco 75,Bean,26,51
5,O. aegyptiaco 75,Bean,17,39
6,O. aegyptiaco 75,Cucumber,5,6
7,O. aegyptiaco 75,Cucumber,53,74
8,O. aegyptiaco 75,Cucumber,55,72
9,O. aegyptiaco 75,Cucumber,32,51
10,O. aegyptiaco 75,Cucumber,46,79
11,O. aegyptiaco 75,Cucumber,10,13
12,O. aegyptiaco 73,Bean,8,16
13,O. aegyptiaco 73,Bean,10,30
14,O. aegyptiaco 73,Bean,8,28
15,O. aegyptiaco 73,Bean,23,45
16,O. aegyptiaco 73,Bean,0,4
17,O. aegyptiaco 73,Cucumber,3,12
18,O. aegyptiaco 73,Cucumber,22,41
19,O. aegyptiaco 73,Cucumber,15,30
20,O. aegyptiaco 73,Cucumber,32,51
21,O. aegyptiaco 73,Cucumber,3,7
